attendance,ct_marks,mid_marks,previous_semester_gpa,study_hours_per_week,result
3.5,3.4,8.7,0.82,5.1,0
6.5,5.7,10.5,2.18,15.6,1
5.9,4.9,10.7,2.01,14.7,0
5.7,4.5,11.0,2.14,14.4,0
4.2,3.1,8.1,1.21,13.7,1
5.8,5.1,17.0,3.25,21.0,1
6.5,6.0,18.0,2.26,20.6,1
5.0,2.5,6.5,0.77,14.0,0
6.7,4.5,12.0,2.76,17.4,0
7.8,6.1,24.3,4.0,20.1,1
5.6,3.7,13.3,1.74,12.6,0
5.6,4.3,15.6,1.41,12.9,1
5.3,4.2,10.6,1.27,15.9,0
7.2,5.7,11.9,2.71,15.0,1
3.9,2.6,5.7,0.37,11.4,0
7.0,4.1,17.7,2.18,12.9,0
6.7,5.9,13.7,2.15,8.4,1
9.4,7.1,21.6,3.42,25.1,1
4.7,3.5,9.5,2.15,13.8,1
7.3,7.3,27.0,3.41,17.9,1
4.2,0.6,3.3,1.59,8.6,0
6.2,4.3,13.3,2.86,19.7,1
5.2,5.9,17.5,2.18,22.7,1
4.2,1.0,2.0,1.44,12.0,0
5.6,6.0,19.1,2.76,15.9,1
6.9,7.9,22.5,3.33,24.2,1
5.1,3.5,14.2,1.38,8.0,0
4.7,2.6,7.5,1.11,19.0,0
6.0,5.8,14.0,1.75,26.0,1
7.1,3.1,5.9,2.04,2.7,0
5.5,5.0,12.3,2.34,14.8,1
5.4,3.5,9.5,2.25,13.1,0
3.5,1.4,6.3,0.9,10.1,0
3.8,1.2,7.4,0.82,9.7,0
7.0,5.7,20.6,2.86,20.9,1
7.2,5.5,13.5,1.63,14.2,1
1.4,0.3,3.7,0.24,4.9,0
7.8,4.3,15.3,3.18,17.9,1
6.4,3.6,12.3,2.19,19.1,1
3.3,3.6,11.6,1.38,9.4,0
4.8,4.9,7.9,0.67,5.7,0
8.3,6.4,18.9,2.44,26.7,1
5.5,4.4,11.5,1.75,14.7,1
9.0,8.7,22.3,4.0,22.5,1
4.7,4.5,16.9,3.26,15.9,1
5.1,4.3,17.4,3.08,19.6,1
6.7,3.3,9.0,1.42,22.8,1
6.5,7.3,20.7,3.14,21.0,1
5.6,2.1,12.3,3.27,12.1,1
7.8,7.3,20.3,3.02,14.5,1
4.6,3.0,14.7,1.82,13.1,1
4.8,3.2,13.3,1.05,13.9,0
5.9,5.9,15.3,1.92,7.9,0
5.8,4.6,22.1,2.41,21.9,1
7.0,5.7,17.7,3.48,16.4,1
5.4,3.7,8.2,1.21,20.8,0
6.2,4.5,9.8,2.08,22.3,1
7.5,4.7,14.0,2.86,16.2,1
4.8,2.1,3.6,1.69,17.3,0
8.1,5.0,16.7,2.51,14.2,1
1.9,2.5,2.2,0.0,12.0,0
6.5,3.7,12.2,1.43,11.8,1
3.6,3.6,11.0,1.34,9.6,0
3.9,1.0,0.5,0.0,8.1,0
3.8,2.1,9.9,1.61,11.5,0
6.6,5.5,13.2,1.29,12.2,0
6.2,4.1,10.1,1.61,19.4,0
6.4,5.4,16.7,2.87,16.4,1
5.0,5.3,6.6,2.43,22.5,1
5.2,2.2,4.7,1.62,7.9,0
6.8,3.9,10.6,2.1,22.5,1
7.2,6.0,18.7,3.29,15.3,1
4.5,3.0,6.0,0.95,13.3,0
5.3,3.6,8.0,1.48,11.6,0
6.8,7.8,14.5,2.71,16.6,1
4.2,4.3,13.0,1.83,18.8,0
5.9,2.4,15.4,2.89,24.2,0
6.1,4.9,15.0,1.88,21.0,1
8.0,5.8,17.1,2.97,16.7,1
6.0,3.3,4.2,1.59,13.9,0
6.6,4.9,11.9,1.02,13.1,0
5.8,4.2,11.3,2.51,11.7,0
4.9,2.8,6.5,0.01,8.0,0
3.0,2.8,6.7,0.7,9.8,0
6.7,4.8,20.5,3.16,19.3,1
4.5,2.6,13.2,1.79,7.5,0
3.2,6.3,8.3,0.8,13.0,0
6.0,3.5,14.4,1.69,22.0,1
7.6,6.3,20.9,3.51,24.1,1
3.3,0.0,0.0,0.0,7.1,0
4.3,2.5,9.1,1.45,6.2,0
4.8,2.0,7.7,1.44,15.3,0
8.5,6.2,15.9,2.89,11.4,1
6.2,6.1,17.2,2.19,21.5,1
7.3,6.3,18.3,2.41,17.7,1
3.5,3.3,7.8,1.63,20.2,0
4.7,0.8,6.4,1.6,6.0,0
7.1,7.5,15.3,1.87,21.3,1
5.3,3.0,14.3,2.09,16.0,0
6.7,7.1,17.4,2.29,16.6,1
5.0,5.3,14.0,2.57,10.2,0
5.7,5.5,16.3,1.88,19.5,1
4.9,3.5,9.8,2.97,19.4,0
8.2,6.1,14.9,2.81,25.7,0
8.0,5.3,10.4,2.38,22.7,1
4.1,2.2,7.5,0.63,9.0,0
4.7,1.2,0.0,0.08,5.5,0
7.1,3.5,16.7,2.49,13.8,1
10.0,8.1,21.7,3.19,25.7,1
4.2,2.8,10.3,0.89,10.1,0
3.5,1.2,0.5,0.0,16.6,0
5.6,3.9,13.2,2.13,18.6,0
7.5,6.4,23.3,2.22,20.4,1
9.2,6.2,26.5,3.34,20.4,1
6.5,2.5,16.7,2.25,20.4,1
7.1,4.8,13.4,1.55,15.1,1
4.8,3.8,6.7,2.29,12.1,1
6.1,4.3,15.5,2.23,19.1,0
4.5,2.5,10.3,2.06,14.8,1
4.8,3.2,10.5,0.68,10.0,0
8.6,5.7,20.0,3.58,24.8,1
7.7,5.8,20.4,3.71,21.3,1
6.7,5.1,18.6,2.7,21.6,1
7.2,4.7,11.0,1.83,11.7,1
6.8,5.2,18.7,2.4,14.0,1
5.3,4.6,14.1,2.6,25.1,1
5.8,7.3,13.3,2.32,23.8,1
7.5,6.7,24.7,3.27,23.5,1
7.3,5.9,24.4,2.45,16.6,1
7.4,5.2,18.1,2.68,17.3,1
7.4,4.8,12.1,2.62,23.7,1
5.7,2.2,10.6,2.18,15.9,1
3.7,3.1,7.5,0.97,8.4,0
5.1,5.0,18.2,2.36,24.0,1
4.5,3.3,6.9,1.72,14.4,0
3.1,2.2,6.7,1.0,19.5,0
7.0,7.6,22.6,3.86,15.7,1
9.3,5.4,23.0,3.49,23.5,1
8.4,5.9,18.5,3.16,28.6,1
7.2,3.7,9.1,2.45,17.1,1
7.8,8.6,23.5,3.96,19.2,1
6.6,5.7,17.9,1.67,11.6,1
4.4,1.8,11.8,2.67,21.2,0
5.2,1.2,8.1,0.57,9.9,0
6.6,4.9,13.9,2.6,17.1,1
6.6,4.1,10.9,2.88,11.5,1
4.4,1.0,9.1,1.35,18.6,0
4.8,6.5,16.1,2.23,20.7,1
4.2,4.4,14.6,1.91,15.9,1
7.7,7.6,26.9,3.65,17.0,1
7.7,5.1,14.0,2.81,25.1,1
6.6,5.5,12.7,1.89,14.8,0
4.8,4.1,14.6,2.28,12.6,1
4.9,4.0,11.6,2.31,9.3,0
4.8,4.8,15.3,1.73,13.1,0
4.0,0.8,6.1,1.01,7.2,0
4.3,5.9,11.1,1.54,13.3,0
3.4,3.3,10.1,1.76,17.0,0
3.3,4.0,9.1,1.42,11.0,0
6.7,4.0,17.7,2.7,19.2,1
5.2,3.7,15.5,2.9,14.5,0
3.2,0.4,5.2,0.81,11.2,0
6.7,4.8,14.3,2.26,23.6,1
5.9,5.8,17.5,3.12,17.8,1
7.1,5.4,15.9,3.01,21.0,1
8.3,5.0,18.4,2.81,13.1,1
5.5,2.9,11.4,3.12,22.4,1
4.1,3.0,14.4,1.34,11.8,0
5.5,2.5,12.1,1.07,17.2,0
6.0,4.1,16.3,2.65,16.8,1
7.5,7.1,18.1,2.6,19.8,1
8.1,6.4,19.4,2.67,22.8,1
7.0,7.6,16.1,3.53,17.7,1
6.1,3.7,11.8,2.06,20.2,1
4.4,3.0,8.1,0.76,9.5,0
6.4,4.1,12.7,2.42,18.4,1
5.6,2.6,14.2,2.62,15.3,0
5.6,5.9,16.7,1.53,17.0,1
5.0,3.4,8.5,2.45,12.7,0
6.9,5.9,13.5,2.67,17.2,1
4.1,2.6,14.5,1.79,10.4,0
6.0,3.5,12.8,2.33,15.4,0
6.8,4.0,13.0,2.51,17.4,1
4.0,5.1,12.2,1.87,12.9,1
7.4,5.4,14.8,2.13,16.8,1
8.5,5.8,15.6,2.65,17.6,1
5.3,4.6,10.9,1.48,10.4,0
6.6,5.4,20.1,1.82,14.3,1
7.9,7.5,21.7,3.03,16.5,1
2.6,0.7,8.3,1.32,22.1,0
1.0,0.1,0.0,0.48,14.1,0
3.5,0.6,2.2,0.18,11.8,0
5.3,5.3,17.9,1.63,21.0,1
5.0,4.5,14.8,2.45,8.4,1
5.6,2.6,0.0,1.07,5.7,0
8.2,6.2,21.2,3.25,18.3,1
0.7,0.0,6.0,0.0,2.7,0
6.0,4.9,9.3,3.04,16.5,1
9.5,5.1,24.2,3.25,21.8,1
3.2,3.2,0.1,1.56,16.5,0
6.2,4.5,15.0,1.74,10.6,1
4.3,5.5,11.6,1.64,15.6,1
5.1,4.3,3.0,1.78,13.6,0
6.5,3.7,13.0,1.75,16.7,1
8.6,7.7,24.7,3.74,18.5,1
9.3,5.7,22.2,3.27,27.3,1
4.2,2.6,12.5,2.05,14.8,1
9.6,7.9,21.9,4.0,29.1,1
5.0,1.8,5.9,2.49,13.2,0
8.6,7.1,23.9,4.0,24.5,1
6.0,3.2,17.3,1.82,15.7,0
6.5,4.9,17.7,1.75,15.3,1
6.7,3.8,8.3,2.09,19.9,1
8.2,8.1,20.0,4.0,21.8,1
5.7,5.5,14.8,3.08,8.2,1
5.7,5.3,6.8,1.68,1.9,0
7.4,5.9,18.3,2.53,24.2,1
6.5,3.2,12.4,2.22,20.1,1
5.1,3.4,6.6,1.32,22.3,0
5.7,3.9,18.6,3.39,18.9,1
6.9,5.2,16.0,3.37,11.2,1
5.9,5.5,13.7,2.57,15.4,1
6.2,7.5,15.5,2.44,16.3,1
5.7,4.1,8.5,2.27,13.2,1
8.1,5.1,14.5,1.82,24.1,1
2.3,0.7,3.5,0.41,19.4,0
6.4,5.6,17.3,2.3,20.2,1
4.6,3.5,10.3,0.84,13.3,0
2.7,2.1,7.1,1.74,6.7,0
6.1,5.8,13.5,2.26,22.3,1
7.6,4.2,14.4,2.42,16.8,1
4.4,4.5,14.0,1.52,13.0,0
7.4,6.4,17.7,2.8,20.7,1
1.2,1.9,7.6,1.51,9.9,0
5.2,3.5,10.7,1.86,15.6,1
4.7,6.5,11.0,1.94,8.7,1
5.0,3.3,13.9,2.08,20.5,1
7.3,5.5,13.6,2.29,16.7,1
4.1,2.0,9.0,0.83,17.9,0
6.7,7.6,18.7,1.99,17.6,1
5.6,5.6,13.7,2.15,15.9,1
1.3,0.5,2.5,0.71,5.7,0
2.0,2.0,2.9,0.12,13.4,0
6.8,5.0,8.9,2.18,12.7,1
3.4,3.1,12.7,2.04,13.6,1
4.9,5.1,14.3,1.25,15.9,1
5.4,4.8,16.2,1.81,16.7,1
7.9,5.4,13.4,2.54,10.1,1
7.9,6.0,23.8,3.11,18.2,1
3.7,3.2,7.3,0.85,16.1,0
5.5,3.3,5.7,1.33,11.2,0
3.6,2.8,5.2,1.73,12.1,0
7.3,4.3,9.2,2.74,17.8,1
6.2,8.1,25.4,3.16,19.5,1
6.3,2.8,14.7,1.67,10.8,1
1.9,1.2,3.7,0.0,8.6,0
2.4,1.4,2.2,1.02,15.1,0
4.5,5.3,16.6,1.61,9.5,1
5.3,2.6,8.9,2.01,13.1,1
4.8,2.9,9.9,1.93,9.5,0
6.5,3.5,17.1,2.56,20.1,1
4.8,4.3,14.2,1.99,14.9,0
7.9,4.5,23.9,3.35,16.0,1
5.3,3.0,10.6,2.01,14.6,0
4.6,0.6,6.1,1.19,8.8,0
6.1,5.4,14.1,1.86,13.6,1
3.9,1.6,0.1,1.59,5.8,0
6.9,3.4,13.2,2.61,13.2,1
8.1,6.3,18.8,1.6,22.0,1
6.6,2.9,13.5,1.8,12.9,0
9.0,8.0,22.1,3.78,22.9,1
8.1,3.3,7.3,1.59,11.0,0
9.3,9.5,25.6,3.64,25.5,1
6.0,5.1,16.2,2.58,11.5,1
4.8,1.5,7.8,0.76,12.6,0
4.9,3.3,13.3,1.94,16.7,0
3.9,3.5,6.4,1.42,22.3,0
4.3,2.9,12.1,1.75,16.5,0
7.1,5.0,5.9,2.72,15.1,1
6.5,6.8,18.5,3.01,20.7,1
5.1,2.7,17.5,1.78,22.9,0
8.3,6.3,13.9,3.19,12.7,1
8.3,7.5,19.3,3.02,16.4,1
7.7,7.5,21.1,3.37,19.6,1
5.9,4.9,14.4,2.67,16.2,0
8.9,6.4,23.0,3.38,19.0,1
4.0,0.0,4.5,1.0,5.4,0
3.8,2.4,11.1,2.17,20.9,0
4.3,3.5,12.0,1.52,8.0,0
6.2,4.5,14.0,1.97,15.8,1
5.8,3.9,20.5,1.77,18.7,1
6.5,5.7,14.3,2.06,15.6,1
8.8,5.9,22.0,3.78,18.0,1
6.2,4.1,7.4,2.95,10.3,1
6.5,5.3,14.0,2.32,16.6,1
4.9,3.1,15.0,2.18,12.5,1
5.7,6.2,11.2,2.69,17.3,1
5.9,5.6,7.9,2.24,10.7,0
6.4,5.5,16.0,3.49,20.8,1
5.6,8.0,24.6,2.98,20.2,1
7.8,5.0,20.0,3.65,22.0,1
6.3,4.9,14.0,2.13,22.9,1
6.4,5.7,11.0,2.53,16.3,1
4.0,1.6,8.4,1.38,9.9,0
6.2,4.8,15.4,2.47,13.8,1
6.1,4.3,11.4,3.08,18.3,1
5.4,6.3,21.4,3.4,18.5,1
5.8,6.0,17.7,2.33,13.6,1
7.9,6.3,21.5,2.78,10.8,1
8.2,3.3,16.1,3.67,15.5,1
8.3,5.2,20.4,3.32,21.3,1
4.8,5.3,16.7,2.14,17.7,0
5.1,3.9,14.4,1.64,20.0,0
6.6,1.8,7.1,2.09,25.1,0
2.2,1.9,0.0,0.37,11.0,0
6.9,5.3,13.3,2.36,22.9,1
1.1,0.0,0.0,0.05,11.1,0
3.5,3.1,7.4,0.8,17.9,1
6.9,4.4,16.0,2.85,25.0,1
7.3,4.5,18.6,2.24,21.5,1
3.4,3.0,11.6,0.84,15.6,0
4.5,5.5,9.1,1.72,13.3,0
5.1,7.9,21.9,3.54,20.2,1
4.6,4.1,8.9,1.95,13.4,0
8.5,8.2,24.0,3.67,25.5,1
4.8,5.2,15.0,2.47,13.4,1
6.6,3.6,4.0,2.23,16.7,0
8.1,7.6,29.1,3.28,11.7,1
3.8,3.3,14.7,1.93,23.5,1
4.7,3.4,7.2,1.92,12.4,0
4.8,3.8,18.4,2.37,17.7,1
6.3,5.1,12.8,2.41,22.0,1
2.7,2.3,7.3,1.61,13.4,0
5.5,0.4,7.8,3.12,21.3,0
4.5,3.5,15.0,0.92,9.1,0
7.4,6.7,18.2,2.64,28.6,1
6.0,5.1,14.5,1.98,20.7,1
5.2,3.9,15.6,1.63,16.2,0
4.2,6.0,16.1,1.68,21.6,0
4.7,4.9,14.4,2.26,12.2,0
6.1,5.8,20.1,2.21,16.9,1
4.4,4.2,17.3,1.53,19.0,1
3.8,3.2,9.7,1.39,5.7,0
8.0,5.2,18.3,3.28,21.8,1
5.0,0.9,9.6,2.07,17.1,0
2.9,1.6,10.0,1.31,19.9,0
6.2,6.0,14.5,2.41,11.2,1
6.7,4.8,14.6,3.42,24.1,1
4.0,3.2,2.4,1.07,9.4,0
8.0,5.4,11.5,1.64,15.2,1
6.2,7.0,16.6,2.39,13.6,1
6.3,4.7,14.8,1.8,13.0,1
7.2,6.1,22.3,2.71,19.8,1
3.9,3.0,8.8,1.03,7.6,0
5.8,6.7,13.7,2.28,20.2,1
3.9,1.7,8.0,2.76,12.7,0
4.7,3.1,14.8,2.03,9.9,0
6.0,6.6,21.7,3.19,16.8,1
6.2,8.2,21.8,3.01,22.0,1
7.6,7.3,20.8,3.24,20.5,1
6.6,5.9,22.7,3.27,20.3,1
6.3,5.3,10.8,2.18,18.7,1
6.9,6.2,17.3,1.74,21.6,1
6.0,5.0,23.5,2.74,17.3,1
5.8,5.0,14.9,2.3,12.4,0
4.2,5.7,12.6,2.22,16.9,0
6.5,7.9,20.4,2.53,20.6,1
6.2,5.4,12.6,1.94,10.2,1
5.7,3.6,6.0,1.55,10.5,0
4.6,3.6,13.4,1.9,12.1,0
7.8,6.3,20.6,2.95,17.3,1
4.3,4.0,12.2,2.63,13.2,1
5.1,5.0,14.0,2.35,20.1,1
7.5,4.3,12.9,2.55,11.8,1
7.0,5.8,12.7,2.08,8.8,1
7.4,4.3,14.4,3.05,17.2,1
6.3,4.5,11.8,2.33,16.7,1
1.9,2.3,13.0,1.53,6.7,0
5.8,8.6,23.4,3.75,18.1,0
5.3,3.2,12.4,2.32,13.1,1
3.2,1.1,7.5,1.59,9.7,0
3.3,2.0,10.1,1.02,13.7,0
4.5,5.0,9.0,1.39,10.5,0
6.0,1.2,11.9,2.25,22.3,0
6.4,3.1,10.5,1.94,17.4,0
5.5,7.3,15.8,1.67,12.0,1
7.9,6.3,18.2,2.1,18.5,1
6.3,3.6,12.9,2.51,17.8,0
6.2,4.9,10.9,2.15,22.1,1
7.5,5.4,16.1,2.56,15.1,1
5.7,6.2,16.5,2.38,21.2,1
5.7,4.1,0.0,0.07,10.1,0
5.7,4.5,13.7,2.0,21.1,1
3.2,0.7,5.5,0.52,14.9,0
6.4,5.6,22.1,2.46,17.1,1
7.7,4.0,11.9,3.07,15.2,1
8.1,4.9,16.0,3.15,21.4,1
5.9,3.8,13.9,3.34,19.1,0
7.5,3.2,13.8,1.93,23.6,1
4.8,2.6,10.8,1.28,15.1,0
6.6,3.8,12.2,3.22,16.1,1
3.8,3.8,10.5,1.41,12.8,0
6.4,3.1,6.5,1.78,11.4,0
6.6,2.0,17.9,2.97,21.4,1
5.2,2.4,7.5,1.72,11.3,0
6.7,5.0,16.7,2.48,23.1,1
8.7,5.1,12.2,2.62,13.1,1
6.5,5.3,8.9,1.93,13.9,0
7.3,5.2,16.7,2.66,23.8,1
6.9,6.6,17.6,2.2,9.7,1
5.6,4.5,15.3,2.66,24.6,1
5.9,3.5,14.3,1.79,12.3,1
4.3,2.1,10.7,1.26,14.2,0
4.7,3.5,13.7,1.14,16.9,0
7.6,4.6,19.8,2.34,20.8,1
4.0,3.2,10.7,1.41,14.5,0
6.4,4.8,15.2,3.02,21.6,1
2.5,1.2,9.4,0.79,14.6,0
6.3,5.5,16.8,2.0,22.7,1
7.9,5.5,16.7,2.56,18.7,1
9.7,7.4,19.6,3.05,30.9,1
5.4,2.9,4.7,1.51,15.7,0
7.1,6.4,19.5,2.9,13.4,1
6.3,3.7,15.7,2.45,27.1,1
5.5,5.0,15.3,2.63,15.2,1
5.8,3.9,16.8,2.73,22.6,1
7.2,4.1,18.8,2.78,17.7,1
5.7,2.3,14.8,1.13,20.0,0
6.5,5.9,23.5,3.05,17.9,1
3.9,4.2,8.5,1.89,17.4,0
6.1,5.0,19.5,3.03,18.6,1
5.4,6.6,11.1,1.88,20.6,1
7.8,5.9,9.4,2.47,17.8,1
5.7,4.7,9.0,1.59,16.8,1
4.6,5.7,20.1,2.48,9.0,1
9.3,9.1,23.8,2.62,20.2,1
6.7,3.6,18.6,1.96,17.7,1
4.0,0.8,10.4,2.21,16.6,0
4.0,2.2,15.0,0.87,16.8,0
6.6,5.0,13.6,2.27,14.1,1
4.2,2.4,6.2,1.29,11.7,0
3.3,3.2,5.3,1.52,18.2,0
6.8,6.5,19.3,1.16,7.8,1
5.6,6.5,18.3,2.74,22.6,0
8.8,8.7,23.0,4.0,21.7,1
6.2,2.7,13.8,1.51,10.8,1
7.9,5.3,22.8,2.55,21.9,1
5.7,6.7,19.5,2.89,21.9,0
6.5,4.5,11.9,2.08,20.0,1
7.4,4.6,15.0,2.99,17.0,1
7.2,4.1,13.2,2.36,19.9,1
6.9,4.0,15.9,2.47,20.1,1
6.4,3.2,15.7,2.02,14.7,1
4.6,1.0,6.8,1.36,9.3,0
4.0,0.4,10.6,1.88,9.1,0
6.9,5.2,19.1,3.11,21.6,1
5.2,3.3,10.8,1.35,15.3,0
3.8,4.7,14.0,1.9,10.3,0
4.9,4.6,18.8,2.66,9.5,1
6.7,5.9,23.5,3.32,22.0,1
6.3,3.9,17.2,2.17,14.6,1
6.4,3.6,10.5,2.14,15.6,1
7.5,6.7,19.0,3.55,24.9,1
9.1,7.9,23.6,4.0,15.8,1
7.6,5.3,20.9,2.3,17.6,1
7.0,7.2,20.4,2.78,18.5,1
8.2,6.4,20.9,3.07,21.5,1
7.2,7.0,19.8,2.91,24.6,1
8.0,5.1,15.2,2.34,12.8,1
7.3,3.3,14.2,1.57,20.3,1
5.4,5.3,16.4,2.44,21.9,1
4.5,3.7,14.1,1.47,12.2,0
8.5,6.5,16.9,2.56,17.8,1
3.8,2.9,7.5,1.89,13.9,0
5.2,3.0,6.8,1.57,15.2,0
8.2,5.5,21.2,3.76,22.5,1
6.0,6.2,22.0,2.98,21.0,0
8.4,7.3,26.0,3.72,16.8,1
4.1,3.1,12.0,2.09,19.4,0
3.6,4.0,10.7,1.83,17.5,0
6.6,3.3,11.2,2.03,16.3,0
6.3,4.0,15.0,2.48,10.6,0
5.7,6.5,16.3,2.41,16.0,1
7.9,7.3,20.0,2.99,20.4,1
5.3,3.5,11.8,2.07,10.6,0
6.4,5.3,16.8,3.38,15.9,1
5.1,3.3,8.1,1.3,7.6,0
5.8,1.7,12.2,2.73,20.0,1
5.9,3.4,17.7,2.71,16.9,1
4.5,3.2,17.9,2.06,7.4,0
3.9,3.4,8.1,2.02,16.9,0
4.7,4.3,8.9,1.1,15.5,0
7.0,5.7,10.6,2.19,17.5,1
8.7,6.8,21.4,2.73,20.0,1
4.4,2.8,14.5,2.71,12.7,1
4.0,4.2,14.1,2.07,12.4,0
2.8,1.0,3.6,0.92,7.8,0
6.2,3.3,10.9,1.12,13.6,0
5.3,3.7,9.8,1.37,16.1,0
6.2,6.4,11.8,1.76,13.4,1
8.1,3.9,17.9,3.29,18.7,1
6.1,3.9,7.6,1.87,14.3,1
6.3,6.1,15.9,3.26,30.1,1
6.9,3.8,9.8,3.36,13.4,1
5.6,5.5,16.8,2.56,14.1,1
6.6,5.5,14.7,2.55,29.2,1
5.0,4.3,15.2,2.54,17.9,1
8.4,6.7,15.9,4.0,15.9,1
3.0,1.0,0.0,0.27,12.7,0
2.9,1.4,5.8,0.0,6.6,0
5.5,3.7,2.5,1.69,18.3,0
5.6,4.2,17.0,2.54,15.4,0
6.2,5.7,11.4,2.36,16.6,1
8.1,6.4,19.2,2.51,24.1,1
6.4,2.6,8.0,1.62,17.4,0
6.5,4.6,20.4,3.62,23.2,0
7.9,4.0,26.4,3.32,21.1,1
5.4,5.6,8.2,2.61,15.0,1
6.0,6.0,20.2,3.22,21.6,1
7.3,5.7,10.0,2.4,21.9,1
3.4,1.6,10.4,1.83,15.1,0
7.8,7.8,18.1,2.28,25.6,1
5.8,3.9,13.8,1.41,20.0,0
5.6,4.6,10.9,2.26,17.1,1
8.3,7.8,23.8,3.51,21.7,1
3.0,0.0,0.0,0.72,9.4,0
3.0,1.6,9.8,1.69,7.0,0
4.9,3.1,6.9,1.88,12.3,0
5.5,7.4,10.3,1.51,16.0,0
4.2,4.2,17.1,1.86,13.8,1
3.6,4.1,7.6,1.19,13.1,0
5.9,4.7,15.9,2.42,13.4,1
6.3,4.0,13.6,2.1,16.8,1
9.7,6.8,21.0,4.0,25.7,1
7.2,8.2,22.7,3.49,22.3,1
5.8,2.2,10.5,1.52,9.5,0
6.2,6.0,18.0,2.22,22.3,1
5.0,3.2,9.6,0.84,12.2,0
4.0,0.0,3.6,0.58,10.2,0
6.0,4.0,12.0,2.06,14.5,1
4.4,3.8,9.2,2.04,11.3,1
5.1,3.9,16.7,1.99,22.2,1
1.7,2.6,6.2,0.0,17.0,0
5.1,2.4,7.9,1.79,15.7,0
6.2,3.2,11.3,2.04,16.3,0
6.9,5.0,13.6,2.51,19.8,1
5.1,4.9,11.1,2.5,17.8,1
4.6,2.2,4.7,1.03,11.5,0
9.1,7.6,23.6,3.2,20.2,1
4.8,2.3,8.2,0.95,12.1,0
6.7,5.8,18.9,2.5,19.2,1
6.1,4.6,6.1,2.47,17.0,0
6.0,1.0,7.4,0.85,14.5,0
4.4,2.2,10.0,1.3,12.8,0
6.6,5.1,13.8,2.76,20.2,0
5.9,7.6,18.7,3.14,14.5,1
5.1,4.8,11.8,2.07,13.5,1
7.9,4.7,12.8,2.64,18.7,1
8.6,2.5,18.3,3.29,15.0,0
7.3,5.3,14.0,1.33,19.5,1
7.3,5.6,16.1,2.92,14.6,1
8.2,8.6,20.9,3.39,19.3,1
10.0,6.6,17.8,3.3,27.2,1
3.7,3.0,8.5,1.04,10.3,0
4.0,4.0,14.6,1.39,12.7,0
6.2,5.8,20.5,3.13,16.7,1
5.8,2.7,4.1,1.59,16.4,0
